date,nav,scheme_code,scheme_name
23-06-2026,106.04100,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
22-06-2026,105.98500,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
19-06-2026,105.92190,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
18-06-2026,105.90030,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
17-06-2026,105.84820,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
16-06-2026,105.84550,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
15-06-2026,105.81250,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
12-06-2026,105.68640,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
11-06-2026,105.57370,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
10-06-2026,105.65690,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
09-06-2026,105.57930,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
08-06-2026,105.30840,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
05-06-2026,105.10700,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
04-06-2026,104.80950,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
03-06-2026,104.74960,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
02-06-2026,104.76630,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
01-06-2026,104.70250,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
29-05-2026,104.65700,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
27-05-2026,104.58330,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
26-05-2026,104.52690,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
25-05-2026,104.52150,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
22-05-2026,104.34670,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
21-05-2026,104.28500,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
20-05-2026,104.38260,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
19-05-2026,104.42160,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
18-05-2026,104.37910,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
15-05-2026,104.59680,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
14-05-2026,104.73180,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
13-05-2026,104.73710,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
12-05-2026,104.75850,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
11-05-2026,104.80530,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
08-05-2026,104.86960,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
07-05-2026,104.87620,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
06-05-2026,104.80430,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
05-05-2026,104.61660,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
04-05-2026,104.65440,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
30-04-2026,104.57060,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
29-04-2026,104.65940,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
28-04-2026,104.74280,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
27-04-2026,104.77710,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
24-04-2026,104.70910,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
23-04-2026,104.76520,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
22-04-2026,104.84730,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
21-04-2026,104.84700,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
20-04-2026,104.83690,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
17-04-2026,104.78210,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
16-04-2026,104.79590,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
15-04-2026,104.79010,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
13-04-2026,104.61130,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
10-04-2026,104.59560,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
09-04-2026,104.51500,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
08-04-2026,104.39190,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
07-04-2026,103.99180,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
06-04-2026,103.91420,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
02-04-2026,103.88130,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
31-03-2026,104.01160,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
30-03-2026,103.99210,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
27-03-2026,103.91020,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
25-03-2026,103.97130,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
24-03-2026,103.98160,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
23-03-2026,110.66250,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
20-03-2026,110.93520,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
18-03-2026,110.99850,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
17-03-2026,110.93160,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
16-03-2026,110.91590,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
13-03-2026,110.92870,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
12-03-2026,110.98980,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
11-03-2026,111.10720,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
10-03-2026,111.04840,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
09-03-2026,110.91930,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
06-03-2026,111.03950,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
05-03-2026,111.05340,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
04-03-2026,110.94990,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
02-03-2026,111.06530,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
27-02-2026,111.02610,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
26-02-2026,111.00690,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
25-02-2026,110.98260,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
24-02-2026,110.93940,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
23-02-2026,110.88290,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
20-02-2026,110.80700,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
18-02-2026,110.86130,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
17-02-2026,110.86820,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
16-02-2026,110.84090,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
13-02-2026,110.75840,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
12-02-2026,110.63090,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
11-02-2026,110.50560,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
10-02-2026,110.42930,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
09-02-2026,110.42330,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
